Mar 31 18:10:45 raspberrypi seqgen: Sequencer @ sec=0, msec=283
Mar 31 18:10:45 raspberrypi seqgen: Frame Sampler thread @ sec=0, msec=284
Mar 31 18:10:45 raspberrypi seqgen: Time-stamp with Image Analysis thread @ sec=0, msec=284
Mar 31 18:10:45 raspberrypi seqgen: Difference Image Proc thread @ sec=0, msec=284
Mar 31 18:10:45 raspberrypi seqgen: Time-stamp Image Save to File thread @ sec=0, msec=285
Mar 31 18:10:45 raspberrypi seqgen: Processed Image Save to File thread @ sec=0, msec=285
Mar 31 18:10:45 raspberrypi seqgen: Send Time-stamped Image to Remote thread @ sec=0, msec=285
Mar 31 18:10:45 raspberrypi seqgen: 10 sec Tick Debug thread @ sec=0, msec=285
Mar 31 18:10:45 raspberrypi seqgen: Sequencer thread @ sec=0, msec=285
Mar 31 18:10:55 raspberrypi seqgen: #012#011Execution Time for S6 = 75.389519
Mar 31 18:10:55 raspberrypi seqgen: #012#011Execution Time for S2 = 75.450142
Mar 31 18:10:55 raspberrypi seqgen: #012#011Execution Time for S1 = 75.444832
Mar 31 18:10:55 raspberrypi seqgen: #012#011Execution Time for S4 = 75.433273
Mar 31 18:10:55 raspberrypi seqgen: #012#011Execution Time for S3 = 44.041630
Mar 31 18:10:55 raspberrypi seqgen: #012#011Execution Time for S5 = 43.978134
Mar 31 18:10:55 raspberrypi seqgen: #012#011Execution Time for S7 = 43.999386
Mar 31 18:10:55 raspberrypi seqgen: #012#011Execution Time for S1 = 17.589869
Mar 31 18:10:55 raspberrypi seqgen: #012#011Execution Time for S1 = 17.594868
Mar 31 18:10:56 raspberrypi seqgen: #012#011Execution Time for S6 = 75.469269
Mar 31 18:10:56 raspberrypi seqgen: #012#011Execution Time for S2 = 75.482086
Mar 31 18:10:56 raspberrypi seqgen: #012#011Execution Time for S1 = 75.473175
Mar 31 18:10:56 raspberrypi seqgen: #012#011Execution Time for S4 = 75.475311
Mar 31 18:10:56 raspberrypi seqgen: #012#011Execution Time for S1 = 35.338703
Mar 31 18:10:57 raspberrypi seqgen: #012#011Execution Time for S1 = 35.366882
Mar 31 18:10:57 raspberrypi seqgen: #012#011Execution Time for S4 = 75.476265
Mar 31 18:10:57 raspberrypi seqgen: #012#011Execution Time for S6 = 75.462982
Mar 31 18:10:57 raspberrypi seqgen: #012#011Execution Time for S1 = 75.500641
Mar 31 18:10:57 raspberrypi seqgen: #012#011Execution Time for S2 = 75.481163
Mar 31 18:10:57 raspberrypi seqgen: #012#011Execution Time for S5 = 36.650089
Mar 31 18:10:57 raspberrypi seqgen: #012#011Execution Time for S3 = 36.617802
Mar 31 18:10:57 raspberrypi seqgen: #012#011Execution Time for S1 = 17.590292
Mar 31 18:10:57 raspberrypi seqgen: #012#011Execution Time for S1 = 18.248690
Mar 31 18:10:58 raspberrypi seqgen: #012#011Execution Time for S4 = 64.530121
Mar 31 18:10:58 raspberrypi seqgen: #012#011Execution Time for S2 = 64.539497
Mar 31 18:10:58 raspberrypi seqgen: #012#011Execution Time for S1 = 64.541161
Mar 31 18:10:58 raspberrypi seqgen: #012#011Execution Time for S6 = 64.522728
Mar 31 18:10:58 raspberrypi seqgen: #012#011Execution Time for S1 = 17.584824
Mar 31 18:10:58 raspberrypi seqgen: #012#011Execution Time for S1 = 17.617481
Mar 31 18:10:59 raspberrypi seqgen: #012#011Execution Time for S4 = 64.912590
Mar 31 18:10:59 raspberrypi seqgen: #012#011Execution Time for S2 = 64.926285
Mar 31 18:10:59 raspberrypi seqgen: #012#011Execution Time for S1 = 64.922897
Mar 31 18:10:59 raspberrypi seqgen: #012#011Execution Time for S6 = 64.880974
Mar 31 18:10:59 raspberrypi seqgen: #012#011Execution Time for S3 = 38.630554
Mar 31 18:10:59 raspberrypi seqgen: #012#011Execution Time for S5 = 38.665348
Mar 31 18:10:59 raspberrypi seqgen: #012#011Execution Time for S1 = 17.592484
Mar 31 18:10:59 raspberrypi seqgen: #012#011Execution Time for S1 = 17.612535
Mar 31 18:11:00 raspberrypi seqgen: #012#011Execution Time for S1 = 75.407806
Mar 31 18:11:00 raspberrypi seqgen: #012#011Execution Time for S6 = 75.382393
