Mar 31 18:21:40 raspberrypi seqgen2x: #012BEGIN LOG
Mar 31 18:21:40 raspberrypi seqgen2x: Frame Sampler thread @ sec=0, msec=129
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.500968
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.709414
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701393
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.486750
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.464821
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.491332
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.489926
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S7 = 1.139542
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S3 = 1.219026
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S5 = 1.264654
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701080
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.705508
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.496958
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.491646
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.481385
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.475499
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.700925
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.700820
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.507740
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.497427
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.520189
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.503520
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S3 = 1.035943
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S5 = 0.974794
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701081
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701080
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.467633
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.473936
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.484093
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.472113
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701133
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.700872
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.478155
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.505500
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.450237
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.501594
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S5 = 0.927395
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S3 = 0.929322
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701289
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.700872
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.535242
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.536179
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.517271
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.528522
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701133
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.201420
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 2.532380
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S6 = 2.546964
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S2 = 2.579361
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S4 = 2.532953
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S3 = 1.607641
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S5 = 1.611131
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.201525
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.243767
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S6 = 2.502326
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S4 = 2.509671
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 2.518786
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S2 = 2.517587
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.201473
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.241319
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S1 = 2.603321
Mar 31 18:21:41 raspberrypi seqgen2x: #012#011Execution Time for S4 = 2.577799
